"id","position_id","tax_src_id","tax_dest_id"
"fptt_dua_4b","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva4_bc","account_tax_template_p_dua0"
"fptt_dua_4s","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva4_sc","account_tax_template_p_dua0"
"fptt_dua_4_inv","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva4_bi","account_tax_template_p_dua0"
"fptt_dua_10b","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva10_bc","account_tax_template_p_dua0"
"fptt_dua_10s","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva10_sc","account_tax_template_p_dua0"
"fptt_dua_10_inv","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva10_bi","account_tax_template_p_dua0"
"fptt_dua_21b","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva21_bc","account_tax_template_p_dua0"
"fptt_dua_21s","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva21_sc","account_tax_template_p_dua0"
"fptt_dua_21_inv","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva21_bi","account_tax_template_p_dua0"
"fptt_dua_0","l10n_es.fp_dua","l10n_es.account_tax_template_p_iva0_bc","account_tax_template_p_dua0"
"fptt_dua_ventas_4b","l10n_es.fp_dua","l10n_es.account_tax_template_s_iva4b","l10n_es.account_tax_template_s_iva0_e"
"fptt_dua_ventas_4s","l10n_es.fp_dua","l10n_es.account_tax_template_s_iva4s","l10n_es.account_tax_template_s_iva_e"
"fptt_dua_ventas_10b","l10n_es.fp_dua","l10n_es.account_tax_template_s_iva10b","l10n_es.account_tax_template_s_iva0_e"
"fptt_dua_ventas_10s","l10n_es.fp_dua","l10n_es.account_tax_template_s_iva10s","l10n_es.account_tax_template_s_iva_e"
"fptt_dua_ventas_21b","l10n_es.fp_dua","l10n_es.account_tax_template_s_iva21b","l10n_es.account_tax_template_s_iva0_e"
"fptt_dua_ventas_21s","l10n_es.fp_dua","l10n_es.account_tax_template_s_iva21s","l10n_es.account_tax_template_s_iva_e"
"fptt_dua_ventas_21isp","l10n_es.fp_dua","l10n_es.account_tax_template_s_iva21isp","l10n_es.account_tax_template_s_iva0_e"
